"death_date","region"
"5/16/2021","Gaza Strip"
"5/16/2021","Gaza Strip"
"5/16/2021","Gaza Strip"
"5/16/2021","Gaza Strip"
"5/16/2021","Gaza Strip"
"5/16/2021","Gaza Strip"
"5/16/2021","Gaza Strip"
"5/16/2021","Gaza Strip"
"5/16/2021","Gaza Strip"
"5/16/2021","Gaza Strip"
"5/16/2021","Gaza Strip"
"5/16/2021","Gaza Strip"
"5/16/2021","Gaza Strip"
"5/16/2021","Gaza Strip"
"5/16/2021","Gaza Strip"
"5/16/2021","Gaza Strip"
"5/16/2021","Gaza Strip"
"5/16/2021","Gaza Strip"
"5/16/2021","Gaza Strip"
"5/16/2021","Gaza Strip"
"5/16/2021","Gaza Strip"
"5/16/2021","Gaza Strip"
"5/16/2021","Gaza Strip"
"5/16/2021","Gaza Strip"
"5/16/2021","Gaza Strip"
"5/16/2021","Gaza Strip"
"5/16/2021","Gaza Strip"
"5/16/2021","Gaza Strip"
"5/16/2021","Gaza Strip"
"5/16/2021","Gaza Strip"
"5/16/2021","Gaza Strip"
"5/16/2021","Gaza Strip"
"5/16/2021","Gaza Strip"
"5/16/2021","Gaza Strip"
"5/16/2021","Gaza Strip"
"6/3/2021","Gaza Strip"
"5/16/2021","Gaza Strip"
"5/16/2021","Gaza Strip"
"5/16/2021","Gaza Strip"
"5/16/2021","Gaza Strip"
"5/16/2021","Gaza Strip"
"5/16/2021","West Bank"
"5/16/2021","Gaza Strip"
"5/16/2021","Gaza Strip"
"5/16/2021","Gaza Strip"
"6/2/2021","West Bank"
"5/15/2021","West Bank"
"5/15/2021","Gaza Strip"
"6/3/2021","Gaza Strip"
"5/15/2021","Gaza Strip"
"5/15/2021","Gaza Strip"
"5/15/2021","Gaza Strip"
"5/15/2021","Gaza Strip"
"5/15/2021","West Bank"
"5/15/2021","Gaza Strip"
"5/15/2021","Gaza Strip"
"5/15/2021","Gaza Strip"
"5/15/2021","Gaza Strip"
"5/15/2021","Gaza Strip"
"5/15/2021","Gaza Strip"
"5/15/2021","Gaza Strip"
"5/15/2021","Gaza Strip"
"5/15/2021","Gaza Strip"
"5/15/2021","Gaza Strip"
"5/15/2021","Gaza Strip"
"5/14/2021","Gaza Strip"
"7/26/2021","West Bank"
"5/14/2021","Gaza Strip"
"5/14/2021","Gaza Strip"
"5/14/2021","Gaza Strip"
"5/14/2021","Gaza Strip"
"5/14/2021","Gaza Strip"
"5/14/2021","Gaza Strip"
"5/14/2021","Gaza Strip"
"5/14/2021","Gaza Strip"
"5/14/2021","Gaza Strip"
"5/14/2021","Gaza Strip"
"5/14/2021","Gaza Strip"
"5/14/2021","Gaza Strip"
"5/16/2021","West Bank"
"5/14/2021","West Bank"
"5/14/2021","West Bank"
"5/14/2021","West Bank"
"5/14/2021","West Bank"
"5/14/2021","West Bank"
"5/14/2021","West Bank"
"5/14/2021","West Bank"
"5/14/2021","West Bank"
"5/14/2021","Gaza Strip"
"5/14/2021","Gaza Strip"
"5/14/2021","Gaza Strip"
"5/13/2021","Gaza Strip"
"5/13/2021","Gaza Strip"
"5/13/2021","Gaza Strip"
"5/13/2021","Gaza Strip"
"5/13/2021","Gaza Strip"
"5/13/2021","Gaza Strip"
"5/13/2021","Gaza Strip"
"5/13/2021","Gaza Strip"
"5/13/2021","Gaza Strip"
"5/13/2021","Gaza Strip"
"5/13/2021","Gaza Strip"
"5/13/2021","Gaza Strip"
"5/13/2021","Gaza Strip"
"5/13/2021","Gaza Strip"
"5/13/2021","Gaza Strip"
"5/13/2021","Gaza Strip"
"5/19/2021","Gaza Strip"
"5/13/2021","Gaza Strip"
"5/15/2021","Gaza Strip"
"5/13/2021","Gaza Strip"
"5/13/2021","Gaza Strip"
"5/13/2021","Gaza Strip"
"5/13/2021","Gaza Strip"
"5/13/2021","Gaza Strip"
"5/13/2021","Gaza Strip"
"5/13/2021","Gaza Strip"
"5/13/2021","Gaza Strip"
"5/13/2021","Gaza Strip"
"5/13/2021","Gaza Strip"
"5/13/2021","Gaza Strip"
"5/13/2021","Gaza Strip"
"5/13/2021","Gaza Strip"
"5/13/2021","Gaza Strip"
"5/13/2021","Gaza Strip"
"5/13/2021","Gaza Strip"
"5/17/2021","Gaza Strip"
"5/13/2021","Gaza Strip"
"5/27/2021","Gaza Strip"
"5/12/2021","Gaza Strip"
"5/12/2021","Gaza Strip"
"5/12/2021","Gaza Strip"
"5/12/2021","Gaza Strip"
"5/12/2021","Gaza Strip"
"5/12/2021","Gaza Strip"
"5/12/2021","Gaza Strip"
"5/12/2021","Gaza Strip"
"5/12/2021","Gaza Strip"
"5/12/2021","Gaza Strip"
"5/12/2021","Gaza Strip"
"5/12/2021","Gaza Strip"
"5/12/2021","Gaza Strip"
"5/12/2021","Gaza Strip"
"5/12/2021","Gaza Strip"
"5/12/2021","Gaza Strip"
"5/12/2021","Gaza Strip"
"5/12/2021","Gaza Strip"
"5/12/2021","Gaza Strip"
"5/12/2021","Gaza Strip"
"5/12/2021","Gaza Strip"
"5/12/2021","Gaza Strip"
"5/12/2021","Gaza Strip"
"5/12/2021","Gaza Strip"
"5/12/2021","Gaza Strip"
"5/12/2021","Gaza Strip"
"5/12/2021","Gaza Strip"
"5/12/2021","Gaza Strip"
"5/12/2021","Gaza Strip"
"5/12/2021","Gaza Strip"
"5/12/2021","Gaza Strip"
"5/12/2021","Gaza Strip"
"5/12/2021","Gaza Strip"
"5/12/2021","Gaza Strip"
"5/12/2021","Gaza Strip"
"5/12/2021","Gaza Strip"
"5/12/2021","Gaza Strip"
"5/12/2021","Gaza Strip"
"5/12/2021","Gaza Strip"
"5/12/2021","Gaza Strip"
"5/12/2021","Gaza Strip"
"5/12/2021","West Bank"
"5/12/2021","West Bank"
"5/12/2021","West Bank"
"5/12/2021","Gaza Strip"
"5/16/2021","West Bank"
"5/12/2021","Gaza Strip"
"5/12/2021","Gaza Strip"
"5/12/2021","Gaza Strip"
"5/12/2021","Gaza Strip"
"5/11/2021","Gaza Strip"
"5/11/2021","Gaza Strip"
"5/11/2021","Gaza Strip"
"5/11/2021","Gaza Strip"
"5/18/2021","Gaza Strip"
"5/11/2021","Gaza Strip"
"5/11/2021","Gaza Strip"
"5/11/2021","Gaza Strip"
"5/11/2021","Gaza Strip"
"5/11/2021","Gaza Strip"
"5/11/2021","Gaza Strip"
"5/11/2021","Gaza Strip"
"5/11/2021","West Bank"
"5/11/2021","Gaza Strip"
"5/11/2021","Gaza Strip"
"5/10/2021","Gaza Strip"
"6/15/2021","Gaza Strip"
"5/10/2021","Gaza Strip"
"5/10/2021","Gaza Strip"
"5/10/2021","Gaza Strip"
"5/10/2021","Gaza Strip"
"5/10/2021","Gaza Strip"
"5/10/2021","Gaza Strip"
"5/10/2021","Gaza Strip"
"5/10/2021","Gaza Strip"
"5/10/2021","Gaza Strip"
"5/10/2021","Gaza Strip"
"5/10/2021","Gaza Strip"
"5/12/2021","Gaza Strip"
"5/10/2021","Gaza Strip"
"5/10/2021","Gaza Strip"
"5/10/2021","Gaza Strip"
"5/10/2021","Gaza Strip"
"5/10/2021","Gaza Strip"
"5/10/2021","Gaza Strip"
"5/10/2021","Gaza Strip"
"5/10/2021","Gaza Strip"
"5/10/2021","Gaza Strip"
"5/7/2021","West Bank"
"5/7/2021","West Bank"
"5/5/2021","West Bank"
"5/2/2021","West Bank"
"4/6/2021","West Bank"
"3/19/2021","West Bank"
"1/31/2021","West Bank"
"1/26/2021","West Bank"
"12/21/2020","West Bank"
"12/4/2020","West Bank"
"11/25/2020","West Bank"
"11/4/2020","West Bank"
"10/25/2020","West Bank"
"10/5/2020","West Bank"
"8/20/2020","West Bank"
"8/17/2020","West Bank"
"7/9/2020","West Bank"
"6/23/2020","West Bank"
"5/30/2020","West Bank"
"5/29/2020","West Bank"
"5/14/2020","West Bank"
"5/13/2020","West Bank"
"4/22/2020","West Bank"
"3/22/2020","West Bank"
"4/1/2020","West Bank"
"3/11/2020","West Bank"
"2/23/2020","Gaza Strip"
"2/22/2020","West Bank"
"2/7/2020","West Bank"
"2/6/2020","West Bank"
"2/6/2020","West Bank"
"2/6/2020","West Bank"
"2/5/2020","West Bank"
"1/21/2020","Israel"
"1/21/2020","Israel"
"1/21/2020","Israel"
"12/17/2019","Gaza Strip"
"11/30/2019","West Bank"
"11/29/2019","Gaza Strip"
"11/17/2019","West Bank"
"11/14/2019","Gaza Strip"
"11/14/2019","Gaza Strip"
"11/14/2019","Gaza Strip"
"11/14/2019","Gaza Strip"
"11/14/2019","Gaza Strip"
"11/14/2019","Gaza Strip"
"11/14/2019","Gaza Strip"
"11/14/2019","Gaza Strip"
"11/22/2019","Gaza Strip"
"11/13/2019","Gaza Strip"
"11/13/2019","Gaza Strip"
"11/13/2019","Gaza Strip"
"11/13/2019","Gaza Strip"
"11/13/2019","Gaza Strip"
"11/13/2019","Gaza Strip"
"11/13/2019","Gaza Strip"
"11/13/2019","Gaza Strip"
"11/13/2019","Gaza Strip"
"11/13/2019","Gaza Strip"
"11/13/2019","Gaza Strip"
"11/13/2019","Gaza Strip"
"11/13/2019","Gaza Strip"
"11/29/2019","Gaza Strip"
"11/13/2019","Gaza Strip"
"11/13/2019","Gaza Strip"
"11/13/2019","Gaza Strip"
"11/12/2019","Gaza Strip"
"11/12/2019","Gaza Strip"
"11/12/2019","Gaza Strip"
"11/12/2019","Gaza Strip"
"11/12/2019","Gaza Strip"
"11/12/2019","Gaza Strip"
"11/12/2019","Gaza Strip"
"11/12/2019","Gaza Strip"
"11/12/2019","Gaza Strip"
"11/11/2019","West Bank"
"11/2/2019","Gaza Strip"
"10/18/2019","West Bank"
"1/31/2020","Gaza Strip"
"10/4/2019","Gaza Strip"
"9/27/2019","Gaza Strip"
"9/18/2019","West Bank"
"9/6/2019","Gaza Strip"
"9/6/2019","Gaza Strip"
"8/31/2019","Gaza Strip"
"8/17/2019","Gaza Strip"
"8/17/2019","Gaza Strip"
"8/17/2019","Gaza Strip"
"8/16/2019","West Bank"
"8/15/2019","West Bank"
"8/18/2019","Gaza Strip"
"8/10/2019","Gaza Strip"
"8/10/2019","Gaza Strip"
"8/10/2019","Gaza Strip"
"8/10/2019","Gaza Strip"
"8/1/2019","Israel"
"7/27/2019","Gaza Strip"
"7/11/2019","Gaza Strip"
"6/27/2019","West Bank"
"5/31/2019","West Bank"
"5/31/2019","West Bank"
"5/10/2019","Gaza Strip"
